0.00, [INFO], robot3, {'battery-level': '46.27'}, None, None
150.08, [INFO], robot3, {'battery-level': '40.90'}, None, None
160.08, [INFO], robot3, {'battery-level': '40.54'}, None, None
170.07, [INFO], robot3, {'battery-level': '40.18'}, None, None
180.04, [INFO], robot3, {'battery-level': '39.82'}, None, None
190.04, [INFO], robot3, {'battery-level': '39.46'}, None, None
200.01, [INFO], robot3, {'battery-level': '39.10'}, None, None
210.06, [INFO], robot3, {'battery-level': '38.74'}, None, None
220.07, [INFO], robot3, {'battery-level': '38.38'}, None, None
230.06, [INFO], robot3, {'battery-level': '38.02'}, None, None
240.05, [INFO], robot3, {'battery-level': '37.66'}, None, None
250.05, [INFO], robot3, {'battery-level': '37.30'}, None, None
260.04, [INFO], robot3, {'battery-level': '36.94'}, None, None
269.93, [INFO], robot3, {'battery-level': '36.58'}, None, None
280.02, [INFO], robot3, {'battery-level': '36.22'}, None, None
290.10, [INFO], robot3, {'battery-level': '35.86'}, None, None
300.06, [INFO], robot3, {'battery-level': '35.50'}, None, None
310.04, [INFO], robot3, {'battery-level': '35.14'}, None, None
320.09, [INFO], robot3, {'battery-level': '34.78'}, None, None
330.07, [INFO], robot3, {'battery-level': '34.42'}, None, None
340.07, [INFO], robot3, {'battery-level': '34.06'}, None, None
350.07, [INFO], robot3, {'battery-level': '33.70'}, None, None
360.07, [INFO], robot3, {'battery-level': '33.34'}, None, None
370.06, [INFO], robot3, {'battery-level': '32.98'}, None, None
380.05, [INFO], robot3, {'battery-level': '32.62'}, None, None
390.10, [INFO], robot3, {'battery-level': '32.26'}, None, None
400.00, [INFO], robot3, {'battery-level': '31.90'}, None, None
410.10, [INFO], robot3, {'battery-level': '31.54'}, None, None
420.06, [INFO], robot3, {'battery-level': '31.18'}, None, None
430.05, [INFO], robot3, {'battery-level': '30.82'}, None, None
440.01, [INFO], robot3, {'battery-level': '30.46'}, None, None
450.00, [INFO], robot3, {'battery-level': '30.10'}, None, None
460.07, [INFO], robot3, {'battery-level': '29.74'}, None, None
470.06, [INFO], robot3, {'battery-level': '29.38'}, None, None
480.05, [INFO], robot3, {'battery-level': '29.02'}, None, None
490.04, [INFO], robot3, {'battery-level': '28.66'}, None, None
500.05, [INFO], robot3, {'battery-level': '28.30'}, None, None
510.03, [INFO], robot3, {'battery-level': '27.94'}, None, None
520.00, [INFO], robot3, {'battery-level': '27.58'}, None, None
530.10, [INFO], robot3, {'battery-level': '27.22'}, None, None
540.07, [INFO], robot3, {'battery-level': '26.86'}, None, None
550.04, [INFO], robot3, {'battery-level': '26.50'}, None, None
560.04, [INFO], robot3, {'battery-level': '26.14'}, None, None
570.03, [INFO], robot3, {'battery-level': '25.78'}, None, None
580.03, [INFO], robot3, {'battery-level': '25.42'}, None, None
590.03, [INFO], robot3, {'battery-level': '25.06'}, None, None
600.04, [INFO], robot3, {'battery-level': '24.70'}, None, None
610.05, [INFO], robot3, {'battery-level': '24.34'}, None, None
620.03, [INFO], robot3, {'battery-level': '23.98'}, None, None
630.02, [INFO], robot3, {'battery-level': '23.62'}, None, None
640.00, [INFO], robot3, {'battery-level': '23.26'}, None, None
650.08, [INFO], robot3, {'battery-level': '22.90'}, None, None
660.08, [INFO], robot3, {'battery-level': '22.54'}, None, None
670.07, [INFO], robot3, {'battery-level': '22.18'}, None, None
680.07, [INFO], robot3, {'battery-level': '21.82'}, None, None
690.07, [INFO], robot3, {'battery-level': '21.46'}, None, None
700.07, [INFO], robot3, {'battery-level': '21.10'}, None, None
710.05, [INFO], robot3, {'battery-level': '20.74'}, None, None
720.05, [INFO], robot3, {'battery-level': '20.38'}, None, None
730.03, [INFO], robot3, {'battery-level': '20.02'}, None, None
740.01, [INFO], robot3, {'battery-level': '19.66'}, None, None
750.01, [INFO], robot3, {'battery-level': '19.30'}, None, None
760.08, [INFO], robot3, {'battery-level': '18.94'}, None, None
770.07, [INFO], robot3, {'battery-level': '18.58'}, None, None
780.06, [INFO], robot3, {'battery-level': '18.22'}, None, None
790.03, [INFO], robot3, {'battery-level': '17.86'}, None, None
800.03, [INFO], robot3, {'battery-level': '17.50'}, None, None
810.04, [INFO], robot3, {'battery-level': '17.14'}, None, None
820.02, [INFO], robot3, {'battery-level': '16.78'}, None, None
830.02, [INFO], robot3, {'battery-level': '16.42'}, None, None
840.01, [INFO], robot3, {'battery-level': '16.06'}, None, None
850.02, [INFO], robot3, {'battery-level': '15.70'}, None, None
860.08, [INFO], robot3, {'battery-level': '15.34'}, None, None

[WARN], logger, TIMEOUT, None, None
