790.04, [INFO], robot6, {'battery-level': '9.77'}, None, None
800.08, [INFO], robot6, {'battery-level': '9.25'}, None, None
810.00, [INFO], robot6, {'battery-level': '8.73'}, None, None
820.02, [INFO], robot6, {'battery-level': '8.21'}, None, None
830.03, [INFO], robot6, {'battery-level': '7.69'}, None, None
840.05, [INFO], robot6, {'battery-level': '7.17'}, None, None
850.08, [INFO], robot6, {'battery-level': '6.65'}, None, None
860.00, [INFO], robot6, {'battery-level': '6.13'}, None, None
870.05, [INFO], robot6, {'battery-level': '5.61'}, None, None

[WARN], logger, TIMEOUT, None, None
