510.00, [INFO], robot3, {'battery-level': '27.94'}, None, None
520.09, [INFO], robot3, {'battery-level': '27.58'}, None, None
530.08, [INFO], robot3, {'battery-level': '27.22'}, None, None
540.06, [INFO], robot3, {'battery-level': '26.86'}, None, None
550.02, [INFO], robot3, {'battery-level': '26.50'}, None, None
560.08, [INFO], robot3, {'battery-level': '26.14'}, None, None
570.03, [INFO], robot3, {'battery-level': '25.78'}, None, None
580.09, [INFO], robot3, {'battery-level': '25.42'}, None, None
590.07, [INFO], robot3, {'battery-level': '25.06'}, None, None
600.00, [INFO], robot3, {'battery-level': '24.70'}, None, None
610.09, [INFO], robot3, {'battery-level': '24.34'}, None, None
620.07, [INFO], robot3, {'battery-level': '23.98'}, None, None
630.07, [INFO], robot3, {'battery-level': '23.62'}, None, None
640.04, [INFO], robot3, {'battery-level': '23.26'}, None, None
650.01, [INFO], robot3, {'battery-level': '22.90'}, None, None
660.00, [INFO], robot3, {'battery-level': '22.54'}, None, None
670.08, [INFO], robot3, {'battery-level': '22.18'}, None, None
680.03, [INFO], robot3, {'battery-level': '21.82'}, None, None
690.03, [INFO], robot3, {'battery-level': '21.46'}, None, None
700.03, [INFO], robot3, {'battery-level': '21.10'}, None, None
710.03, [INFO], robot3, {'battery-level': '20.74'}, None, None
720.03, [INFO], robot3, {'battery-level': '20.38'}, None, None
730.03, [INFO], robot3, {'battery-level': '20.02'}, None, None
740.04, [INFO], robot3, {'battery-level': '19.66'}, None, None
750.04, [INFO], robot3, {'battery-level': '19.30'}, None, None
760.03, [INFO], robot3, {'battery-level': '18.94'}, None, None
770.03, [INFO], robot3, {'battery-level': '18.58'}, None, None
780.00, [INFO], robot3, {'battery-level': '18.22'}, None, None
790.07, [INFO], robot3, {'battery-level': '17.86'}, None, None
800.03, [INFO], robot3, {'battery-level': '17.50'}, None, None
810.10, [INFO], robot3, {'battery-level': '17.14'}, None, None
820.09, [INFO], robot3, {'battery-level': '16.78'}, None, None
830.02, [INFO], robot3, {'battery-level': '16.42'}, None, None
840.09, [INFO], robot3, {'battery-level': '16.06'}, None, None
850.08, [INFO], robot3, {'battery-level': '15.70'}, None, None
860.09, [INFO], robot3, {'battery-level': '15.34'}, None, None

[WARN], logger, TIMEOUT, None, None
